warehouse_id,sku,available_stock,reserved_stock,safety_stock,snapshot_date,snapshot_time
WH002,SKU001,82,16,119,2025-12-18,23:59:59
WH002,SKU002,86,7,134,2025-12-18,23:59:59
WH002,SKU003,72,6,90,2025-12-18,23:59:59
WH002,SKU004,42,8,108,2025-12-18,23:59:59
WH002,SKU005,65,3,120,2025-12-18,23:59:59
WH002,SKU006,33,5,105,2025-12-18,23:59:59
WH002,SKU007,95,5,141,2025-12-18,23:59:59
WH002,SKU008,74,6,84,2025-12-18,23:59:59
WH002,SKU009,88,1,116,2025-12-18,23:59:59
WH002,SKU010,83,12,83,2025-12-18,23:59:59
WH002,SKU011,39,0,124,2025-12-18,23:59:59
WH002,SKU012,76,6,131,2025-12-18,23:59:59
WH002,SKU013,37,4,136,2025-12-18,23:59:59
WH002,SKU014,78,11,137,2025-12-18,23:59:59
WH002,SKU015,91,15,103,2025-12-18,23:59:59
WH002,SKU016,41,8,106,2025-12-18,23:59:59
WH002,SKU017,72,14,132,2025-12-18,23:59:59
WH002,SKU018,82,2,120,2025-12-18,23:59:59
WH002,SKU019,85,11,140,2025-12-18,23:59:59
WH002,SKU020,68,2,115,2025-12-18,23:59:59
WH002,SKU021,37,0,116,2025-12-18,23:59:59
WH002,SKU022,94,8,127,2025-12-18,23:59:59
WH002,SKU023,47,1,146,2025-12-18,23:59:59
WH002,SKU024,95,2,97,2025-12-18,23:59:59
WH002,SKU025,27,3,81,2025-12-18,23:59:59
