warehouse_id,sku,available_stock,reserved_stock,safety_stock,snapshot_date,snapshot_time
WH003,SKU001,41,6,113,2025-12-31,23:59:59
WH003,SKU002,79,12,132,2025-12-31,23:59:59
WH003,SKU003,63,7,82,2025-12-31,23:59:59
WH003,SKU004,63,2,135,2025-12-31,23:59:59
WH003,SKU005,70,8,142,2025-12-31,23:59:59
WH003,SKU006,44,5,104,2025-12-31,23:59:59
WH003,SKU007,80,14,83,2025-12-31,23:59:59
WH003,SKU008,56,0,105,2025-12-31,23:59:59
WH003,SKU009,88,17,143,2025-12-31,23:59:59
WH003,SKU010,28,4,134,2025-12-31,23:59:59
WH003,SKU011,21,2,116,2025-12-31,23:59:59
WH003,SKU012,88,12,134,2025-12-31,23:59:59
WH003,SKU013,45,9,132,2025-12-31,23:59:59
WH003,SKU014,21,0,117,2025-12-31,23:59:59
WH003,SKU015,62,9,143,2025-12-31,23:59:59
WH003,SKU016,82,14,121,2025-12-31,23:59:59
WH003,SKU017,50,6,125,2025-12-31,23:59:59
WH003,SKU018,62,4,95,2025-12-31,23:59:59
WH003,SKU019,28,5,127,2025-12-31,23:59:59
WH003,SKU020,53,0,123,2025-12-31,23:59:59
WH003,SKU021,52,1,85,2025-12-31,23:59:59
WH003,SKU022,64,3,94,2025-12-31,23:59:59
WH003,SKU023,85,11,134,2025-12-31,23:59:59
WH003,SKU024,27,3,133,2025-12-31,23:59:59
WH003,SKU025,33,5,90,2025-12-31,23:59:59
