warehouse_id,sku,available_stock,reserved_stock,safety_stock,snapshot_date,snapshot_time
WH001,SKU001,446,65,58,2025-12-14,23:59:59
WH001,SKU002,73,9,83,2025-12-14,23:59:59
WH001,SKU003,267,16,90,2025-12-14,23:59:59
WH001,SKU004,195,39,52,2025-12-14,23:59:59
WH001,SKU005,320,23,82,2025-12-14,23:59:59
WH001,SKU006,453,15,73,2025-12-14,23:59:59
WH001,SKU007,386,9,55,2025-12-14,23:59:59
WH001,SKU008,268,14,75,2025-12-14,23:59:59
WH001,SKU009,474,29,47,2025-12-14,23:59:59
WH001,SKU010,351,79,90,2025-12-14,23:59:59
WH001,SKU011,345,49,48,2025-12-14,23:59:59
WH001,SKU012,462,95,69,2025-12-14,23:59:59
WH001,SKU013,296,75,68,2025-12-14,23:59:59
WH001,SKU014,295,44,47,2025-12-14,23:59:59
WH001,SKU015,262,18,74,2025-12-14,23:59:59
WH001,SKU016,80,0,97,2025-12-14,23:59:59
WH001,SKU017,120,33,54,2025-12-14,23:59:59
WH001,SKU018,182,35,63,2025-12-14,23:59:59
WH001,SKU019,462,125,45,2025-12-14,23:59:59
WH001,SKU020,212,12,79,2025-12-14,23:59:59
WH001,SKU021,145,3,67,2025-12-14,23:59:59
WH001,SKU022,486,98,56,2025-12-14,23:59:59
WH001,SKU023,348,51,43,2025-12-14,23:59:59
WH001,SKU024,113,2,65,2025-12-14,23:59:59
WH001,SKU025,300,44,42,2025-12-14,23:59:59
