warehouse_id,sku,available_stock,reserved_stock,safety_stock,snapshot_date,snapshot_time
WH003,SKU001,392,21,92,2025-12-14,23:59:59
WH003,SKU002,139,39,43,2025-12-14,23:59:59
WH003,SKU003,180,8,46,2025-12-14,23:59:59
WH003,SKU004,359,69,72,2025-12-14,23:59:59
WH003,SKU005,210,7,69,2025-12-14,23:59:59
WH003,SKU006,167,5,78,2025-12-14,23:59:59
WH003,SKU007,198,29,83,2025-12-14,23:59:59
WH003,SKU008,124,26,79,2025-12-14,23:59:59
WH003,SKU009,171,27,52,2025-12-14,23:59:59
WH003,SKU010,203,18,68,2025-12-14,23:59:59
WH003,SKU011,351,42,41,2025-12-14,23:59:59
WH003,SKU012,223,9,71,2025-12-14,23:59:59
WH003,SKU013,373,100,49,2025-12-14,23:59:59
WH003,SKU014,225,13,85,2025-12-14,23:59:59
WH003,SKU015,235,31,48,2025-12-14,23:59:59
WH003,SKU016,285,62,72,2025-12-14,23:59:59
WH003,SKU017,105,25,78,2025-12-14,23:59:59
WH003,SKU018,108,20,83,2025-12-14,23:59:59
WH003,SKU019,105,23,85,2025-12-14,23:59:59
WH003,SKU020,407,31,68,2025-12-14,23:59:59
WH003,SKU021,495,146,98,2025-12-14,23:59:59
WH003,SKU022,261,4,81,2025-12-14,23:59:59
WH003,SKU023,258,61,72,2025-12-14,23:59:59
WH003,SKU024,148,29,91,2025-12-14,23:59:59
WH003,SKU025,391,65,60,2025-12-14,23:59:59
