warehouse_id,sku,available_stock,reserved_stock,safety_stock,snapshot_date,snapshot_time
WH003,SKU001,80,5,92,2025-12-25,23:59:59
WH003,SKU002,81,5,132,2025-12-25,23:59:59
WH003,SKU003,22,0,141,2025-12-25,23:59:59
WH003,SKU004,97,18,90,2025-12-25,23:59:59
WH003,SKU005,36,2,134,2025-12-25,23:59:59
WH003,SKU006,58,4,144,2025-12-25,23:59:59
WH003,SKU007,25,0,138,2025-12-25,23:59:59
WH003,SKU008,67,5,131,2025-12-25,23:59:59
WH003,SKU009,94,17,93,2025-12-25,23:59:59
WH003,SKU010,100,3,111,2025-12-25,23:59:59
WH003,SKU011,25,1,136,2025-12-25,23:59:59
WH003,SKU012,29,0,119,2025-12-25,23:59:59
WH003,SKU013,78,15,90,2025-12-25,23:59:59
WH003,SKU014,37,6,107,2025-12-25,23:59:59
WH003,SKU015,62,0,84,2025-12-25,23:59:59
WH003,SKU016,54,2,135,2025-12-25,23:59:59
WH003,SKU017,99,0,141,2025-12-25,23:59:59
WH003,SKU018,83,6,117,2025-12-25,23:59:59
WH003,SKU019,100,14,136,2025-12-25,23:59:59
WH003,SKU020,22,0,84,2025-12-25,23:59:59
WH003,SKU021,20,0,142,2025-12-25,23:59:59
WH003,SKU022,37,5,135,2025-12-25,23:59:59
WH003,SKU023,95,18,138,2025-12-25,23:59:59
WH003,SKU024,65,0,105,2025-12-25,23:59:59
WH003,SKU025,37,2,131,2025-12-25,23:59:59
