warehouse_id,sku,available_stock,reserved_stock,safety_stock,snapshot_date,snapshot_time
WH003,SKU001,78,14,134,2026-01-03,23:59:59
WH003,SKU002,93,8,124,2026-01-03,23:59:59
WH003,SKU003,39,4,88,2026-01-03,23:59:59
WH003,SKU004,53,4,88,2026-01-03,23:59:59
WH003,SKU005,38,3,117,2026-01-03,23:59:59
WH003,SKU006,60,2,148,2026-01-03,23:59:59
WH003,SKU007,80,2,127,2026-01-03,23:59:59
WH003,SKU008,24,1,143,2026-01-03,23:59:59
WH003,SKU009,77,14,98,2026-01-03,23:59:59
WH003,SKU010,78,15,88,2026-01-03,23:59:59
WH003,SKU011,33,5,105,2026-01-03,23:59:59
WH003,SKU012,36,2,129,2026-01-03,23:59:59
WH003,SKU013,30,6,143,2026-01-03,23:59:59
WH003,SKU014,29,0,149,2026-01-03,23:59:59
WH003,SKU015,63,7,116,2026-01-03,23:59:59
WH003,SKU016,26,1,82,2026-01-03,23:59:59
WH003,SKU017,63,10,117,2026-01-03,23:59:59
WH003,SKU018,22,1,150,2026-01-03,23:59:59
WH003,SKU019,94,2,93,2026-01-03,23:59:59
WH003,SKU020,87,1,141,2026-01-03,23:59:59
WH003,SKU021,34,1,150,2026-01-03,23:59:59
WH003,SKU022,86,15,113,2026-01-03,23:59:59
WH003,SKU023,43,2,148,2026-01-03,23:59:59
WH003,SKU024,26,1,134,2026-01-03,23:59:59
WH003,SKU025,82,16,118,2026-01-03,23:59:59
