warehouse_id,sku,available_stock,reserved_stock,safety_stock,snapshot_date,snapshot_time
WH002,SKU001,60,7,94,2026-01-03,23:59:59
WH002,SKU002,25,1,80,2026-01-03,23:59:59
WH002,SKU003,27,3,81,2026-01-03,23:59:59
WH002,SKU004,35,4,108,2026-01-03,23:59:59
WH002,SKU005,38,2,110,2026-01-03,23:59:59
WH002,SKU006,75,10,137,2026-01-03,23:59:59
WH002,SKU007,52,2,126,2026-01-03,23:59:59
WH002,SKU008,40,8,135,2026-01-03,23:59:59
WH002,SKU009,92,3,113,2026-01-03,23:59:59
WH002,SKU010,29,5,147,2026-01-03,23:59:59
WH002,SKU011,85,17,129,2026-01-03,23:59:59
WH002,SKU012,60,1,80,2026-01-03,23:59:59
WH002,SKU013,71,7,143,2026-01-03,23:59:59
WH002,SKU014,49,1,114,2026-01-03,23:59:59
WH002,SKU015,51,4,142,2026-01-03,23:59:59
WH002,SKU016,72,4,121,2026-01-03,23:59:59
WH002,SKU017,79,15,120,2026-01-03,23:59:59
WH002,SKU018,46,9,110,2026-01-03,23:59:59
WH002,SKU019,60,0,148,2026-01-03,23:59:59
WH002,SKU020,97,19,88,2026-01-03,23:59:59
WH002,SKU021,22,2,149,2026-01-03,23:59:59
WH002,SKU022,85,6,92,2026-01-03,23:59:59
WH002,SKU023,66,6,144,2026-01-03,23:59:59
WH002,SKU024,86,16,81,2026-01-03,23:59:59
WH002,SKU025,39,3,87,2026-01-03,23:59:59
