warehouse_id,sku,available_stock,reserved_stock,safety_stock,snapshot_date,snapshot_time
WH003,SKU001,73,12,126,2025-12-28docker,23:59:59
WH003,SKU002,76,4,88,2025-12-28docker,23:59:59
WH003,SKU003,46,1,120,2025-12-28docker,23:59:59
WH003,SKU004,90,3,125,2025-12-28docker,23:59:59
WH003,SKU005,61,11,107,2025-12-28docker,23:59:59
WH003,SKU006,68,0,121,2025-12-28docker,23:59:59
WH003,SKU007,74,10,142,2025-12-28docker,23:59:59
WH003,SKU008,98,1,142,2025-12-28docker,23:59:59
WH003,SKU009,36,7,114,2025-12-28docker,23:59:59
WH003,SKU010,89,14,149,2025-12-28docker,23:59:59
WH003,SKU011,98,0,105,2025-12-28docker,23:59:59
WH003,SKU012,69,8,131,2025-12-28docker,23:59:59
WH003,SKU013,29,1,113,2025-12-28docker,23:59:59
WH003,SKU014,58,3,97,2025-12-28docker,23:59:59
WH003,SKU015,64,9,94,2025-12-28docker,23:59:59
WH003,SKU016,61,12,144,2025-12-28docker,23:59:59
WH003,SKU017,80,0,129,2025-12-28docker,23:59:59
WH003,SKU018,39,1,81,2025-12-28docker,23:59:59
WH003,SKU019,57,8,124,2025-12-28docker,23:59:59
WH003,SKU020,59,8,126,2025-12-28docker,23:59:59
WH003,SKU021,84,16,118,2025-12-28docker,23:59:59
WH003,SKU022,85,11,141,2025-12-28docker,23:59:59
WH003,SKU023,84,0,83,2025-12-28docker,23:59:59
WH003,SKU024,92,2,148,2025-12-28docker,23:59:59
WH003,SKU025,57,8,130,2025-12-28docker,23:59:59
