warehouse_id,sku,available_stock,reserved_stock,safety_stock,snapshot_date,snapshot_time
WH001,SKU001,82,16,122,2025-12-28docker,23:59:59
WH001,SKU002,62,9,99,2025-12-28docker,23:59:59
WH001,SKU003,57,3,114,2025-12-28docker,23:59:59
WH001,SKU004,35,7,100,2025-12-28docker,23:59:59
WH001,SKU005,94,10,92,2025-12-28docker,23:59:59
WH001,SKU006,25,0,117,2025-12-28docker,23:59:59
WH001,SKU007,84,14,150,2025-12-28docker,23:59:59
WH001,SKU008,95,7,107,2025-12-28docker,23:59:59
WH001,SKU009,25,0,113,2025-12-28docker,23:59:59
WH001,SKU010,83,13,133,2025-12-28docker,23:59:59
WH001,SKU011,95,0,118,2025-12-28docker,23:59:59
WH001,SKU012,26,5,125,2025-12-28docker,23:59:59
WH001,SKU013,86,17,117,2025-12-28docker,23:59:59
WH001,SKU014,37,6,137,2025-12-28docker,23:59:59
WH001,SKU015,23,0,103,2025-12-28docker,23:59:59
WH001,SKU016,20,3,119,2025-12-28docker,23:59:59
WH001,SKU017,51,1,100,2025-12-28docker,23:59:59
WH001,SKU018,59,8,137,2025-12-28docker,23:59:59
WH001,SKU019,75,15,137,2025-12-28docker,23:59:59
WH001,SKU020,67,4,134,2025-12-28docker,23:59:59
WH001,SKU021,86,6,125,2025-12-28docker,23:59:59
WH001,SKU022,76,14,112,2025-12-28docker,23:59:59
WH001,SKU023,35,7,129,2025-12-28docker,23:59:59
WH001,SKU024,23,3,109,2025-12-28docker,23:59:59
WH001,SKU025,22,4,134,2025-12-28docker,23:59:59
