warehouse_id,sku,available_stock,reserved_stock,safety_stock,snapshot_date,snapshot_time
WH002,SKU001,69,0,99,2025-12-28docker,23:59:59
WH002,SKU002,64,4,90,2025-12-28docker,23:59:59
WH002,SKU003,22,0,92,2025-12-28docker,23:59:59
WH002,SKU004,71,14,131,2025-12-28docker,23:59:59
WH002,SKU005,77,6,103,2025-12-28docker,23:59:59
WH002,SKU006,91,1,122,2025-12-28docker,23:59:59
WH002,SKU007,96,10,82,2025-12-28docker,23:59:59
WH002,SKU008,59,7,106,2025-12-28docker,23:59:59
WH002,SKU009,54,8,124,2025-12-28docker,23:59:59
WH002,SKU010,85,17,101,2025-12-28docker,23:59:59
WH002,SKU011,96,12,109,2025-12-28docker,23:59:59
WH002,SKU012,28,0,140,2025-12-28docker,23:59:59
WH002,SKU013,52,5,115,2025-12-28docker,23:59:59
WH002,SKU014,25,0,122,2025-12-28docker,23:59:59
WH002,SKU015,49,6,98,2025-12-28docker,23:59:59
WH002,SKU016,24,0,85,2025-12-28docker,23:59:59
WH002,SKU017,52,1,97,2025-12-28docker,23:59:59
WH002,SKU018,92,9,93,2025-12-28docker,23:59:59
WH002,SKU019,74,14,98,2025-12-28docker,23:59:59
WH002,SKU020,29,3,99,2025-12-28docker,23:59:59
WH002,SKU021,75,8,86,2025-12-28docker,23:59:59
WH002,SKU022,21,1,108,2025-12-28docker,23:59:59
WH002,SKU023,38,6,148,2025-12-28docker,23:59:59
WH002,SKU024,68,9,118,2025-12-28docker,23:59:59
WH002,SKU025,30,3,138,2025-12-28docker,23:59:59
