warehouse_id,sku,available_stock,reserved_stock,safety_stock,snapshot_date,snapshot_time
WH001,SKU001,39,5,87,2025-12-26,23:59:59
WH001,SKU002,99,17,131,2025-12-26,23:59:59
WH001,SKU003,70,13,149,2025-12-26,23:59:59
WH001,SKU004,88,8,95,2025-12-26,23:59:59
WH001,SKU005,42,7,90,2025-12-26,23:59:59
WH001,SKU006,35,1,105,2025-12-26,23:59:59
WH001,SKU007,53,5,116,2025-12-26,23:59:59
WH001,SKU008,48,7,98,2025-12-26,23:59:59
WH001,SKU009,85,17,104,2025-12-26,23:59:59
WH001,SKU010,93,4,92,2025-12-26,23:59:59
WH001,SKU011,44,3,100,2025-12-26,23:59:59
WH001,SKU012,39,7,141,2025-12-26,23:59:59
WH001,SKU013,93,12,108,2025-12-26,23:59:59
WH001,SKU014,88,6,148,2025-12-26,23:59:59
WH001,SKU015,22,4,114,2025-12-26,23:59:59
WH001,SKU016,42,1,145,2025-12-26,23:59:59
WH001,SKU017,24,4,139,2025-12-26,23:59:59
WH001,SKU018,34,3,122,2025-12-26,23:59:59
WH001,SKU019,39,6,131,2025-12-26,23:59:59
WH001,SKU020,59,6,143,2025-12-26,23:59:59
WH001,SKU021,25,3,131,2025-12-26,23:59:59
WH001,SKU022,77,14,95,2025-12-26,23:59:59
WH001,SKU023,88,3,88,2025-12-26,23:59:59
WH001,SKU024,65,2,126,2025-12-26,23:59:59
WH001,SKU025,37,3,91,2025-12-26,23:59:59
