warehouse_id,sku,available_stock,reserved_stock,safety_stock,snapshot_date,snapshot_time
WH002,SKU001,44,1,134,2025-12-26,23:59:59
WH002,SKU002,89,12,142,2025-12-26,23:59:59
WH002,SKU003,50,0,97,2025-12-26,23:59:59
WH002,SKU004,31,4,144,2025-12-26,23:59:59
WH002,SKU005,94,7,141,2025-12-26,23:59:59
WH002,SKU006,74,10,87,2025-12-26,23:59:59
WH002,SKU007,69,13,117,2025-12-26,23:59:59
WH002,SKU008,71,10,133,2025-12-26,23:59:59
WH002,SKU009,39,3,138,2025-12-26,23:59:59
WH002,SKU010,35,4,92,2025-12-26,23:59:59
WH002,SKU011,75,14,135,2025-12-26,23:59:59
WH002,SKU012,42,3,80,2025-12-26,23:59:59
WH002,SKU013,33,6,136,2025-12-26,23:59:59
WH002,SKU014,20,3,86,2025-12-26,23:59:59
WH002,SKU015,79,14,102,2025-12-26,23:59:59
WH002,SKU016,43,3,128,2025-12-26,23:59:59
WH002,SKU017,22,1,114,2025-12-26,23:59:59
WH002,SKU018,76,3,99,2025-12-26,23:59:59
WH002,SKU019,27,5,131,2025-12-26,23:59:59
WH002,SKU020,21,2,81,2025-12-26,23:59:59
WH002,SKU021,47,0,99,2025-12-26,23:59:59
WH002,SKU022,49,4,95,2025-12-26,23:59:59
WH002,SKU023,36,2,83,2025-12-26,23:59:59
WH002,SKU024,20,3,130,2025-12-26,23:59:59
WH002,SKU025,91,5,138,2025-12-26,23:59:59
