warehouse_id,sku,available_stock,reserved_stock,safety_stock,snapshot_date,snapshot_time
WH003,SKU001,66,8,124,2025-12-27,23:59:59
WH003,SKU002,91,4,133,2025-12-27,23:59:59
WH003,SKU003,68,3,109,2025-12-27,23:59:59
WH003,SKU004,25,2,141,2025-12-27,23:59:59
WH003,SKU005,50,1,130,2025-12-27,23:59:59
WH003,SKU006,59,8,127,2025-12-27,23:59:59
WH003,SKU007,48,1,119,2025-12-27,23:59:59
WH003,SKU008,89,1,136,2025-12-27,23:59:59
WH003,SKU009,54,0,104,2025-12-27,23:59:59
WH003,SKU010,33,2,89,2025-12-27,23:59:59
WH003,SKU011,56,5,85,2025-12-27,23:59:59
WH003,SKU012,61,3,91,2025-12-27,23:59:59
WH003,SKU013,45,6,107,2025-12-27,23:59:59
WH003,SKU014,35,0,117,2025-12-27,23:59:59
WH003,SKU015,75,10,112,2025-12-27,23:59:59
WH003,SKU016,56,0,126,2025-12-27,23:59:59
WH003,SKU017,72,6,104,2025-12-27,23:59:59
WH003,SKU018,52,6,120,2025-12-27,23:59:59
WH003,SKU019,58,3,103,2025-12-27,23:59:59
WH003,SKU020,48,0,131,2025-12-27,23:59:59
WH003,SKU021,26,0,114,2025-12-27,23:59:59
WH003,SKU022,74,9,129,2025-12-27,23:59:59
WH003,SKU023,66,5,130,2025-12-27,23:59:59
WH003,SKU024,37,3,105,2025-12-27,23:59:59
WH003,SKU025,57,6,84,2025-12-27,23:59:59
