warehouse_id,sku,available_stock,reserved_stock,safety_stock,snapshot_date,snapshot_time
WH001,SKU001,100,13,136,2026-01-01,23:59:59
WH001,SKU002,38,0,130,2026-01-01,23:59:59
WH001,SKU003,25,2,121,2026-01-01,23:59:59
WH001,SKU004,89,11,99,2026-01-01,23:59:59
WH001,SKU005,59,1,135,2026-01-01,23:59:59
WH001,SKU006,71,2,106,2026-01-01,23:59:59
WH001,SKU007,82,15,112,2026-01-01,23:59:59
WH001,SKU008,63,10,100,2026-01-01,23:59:59
WH001,SKU009,83,1,127,2026-01-01,23:59:59
WH001,SKU010,67,9,114,2026-01-01,23:59:59
WH001,SKU011,26,5,96,2026-01-01,23:59:59
WH001,SKU012,71,14,94,2026-01-01,23:59:59
WH001,SKU013,45,4,103,2026-01-01,23:59:59
WH001,SKU014,52,2,128,2026-01-01,23:59:59
WH001,SKU015,63,11,150,2026-01-01,23:59:59
WH001,SKU016,79,14,136,2026-01-01,23:59:59
WH001,SKU017,87,13,116,2026-01-01,23:59:59
WH001,SKU018,51,10,135,2026-01-01,23:59:59
WH001,SKU019,26,0,132,2026-01-01,23:59:59
WH001,SKU020,39,5,113,2026-01-01,23:59:59
WH001,SKU021,62,10,91,2026-01-01,23:59:59
WH001,SKU022,74,4,97,2026-01-01,23:59:59
WH001,SKU023,38,6,84,2026-01-01,23:59:59
WH001,SKU024,80,14,106,2026-01-01,23:59:59
WH001,SKU025,51,0,126,2026-01-01,23:59:59
